#Time         gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS     Idx      %      %      %      %      %      %   MB/s   MB/s 
 17:16:20       0      0      0      0      0      0      0      0      0 
 17:16:20       1      0      0      0      0      0      0      0      0 
 17:16:20       2      0      0      0      0      0      0      0      0 
 17:16:20       3      0      0      0      0      0      0      0      0 
 17:16:21       0      0      0      0      0      0      0    331    141 
 17:16:21       1      0      0      0      0      0      0      0      1 
 17:16:21       2      0      0      0      0      0      0      0      0 
 17:16:21       3      0      0      0      0      0      0      0      0 
 17:16:23       0      0      0      0      0      0      0    188     42 
 17:16:23       1      0      0      0      0      0      0      6      0 
 17:16:23       2      3      2      0      0      0      0      0      5 
 17:16:23       3      3      2      0      0      0      0      0      1 
 17:16:24       0     21     12      0      0      0      0    178     41 
 17:16:24       1      3      2      0      0      0      0      6      0 
 17:16:24       2      3      2      0      0      0      0      0      1 
 17:16:24       3      3      2      0      0      0      0     10      0 
 17:16:25       0     20     12      0      0      0      0     99     41 
 17:16:25       1      6      5      0      0      0      0      0      3 
 17:16:25       2      6      4      0      0      0      0      0      0 
 17:16:25       3      6      4      0      0      0      0     11      0 
 17:16:26       0     21     12      0      0      0      0     89     41 
 17:16:26       1      3      2      0      0      0      0      0      4 
 17:16:26       2      3      2      0      0      0      0      0      0 
 17:16:26       3      3      2      0      0      0      0      0     36 
 17:16:27       0     19     11      0      0      0      0    198     18 
 17:16:27       1      3      2      0      0      0      0      0      0 
 17:16:27       2      3      2      0      0      0      0     10      0 
 17:16:27       3      3      2      0      0      0      0      0      2 
 17:16:28       0     20     12      0      0      0      0    188     42 
 17:16:28       1      6      5      0      0      0      0      6      0 
 17:16:28       2      6      4      0      0      0      0      0      6 
 17:16:28       3      6      4      0      0      0      0      0      0 
 17:16:30       0     20     12      0      0      0      0    120     44 
 17:16:30       1      6      5      0      0      0      0      0      3 
 17:16:30       2      6      4      0      0      0      0      0      0 
 17:16:30       3      6      4      0      0      0      0     10      0 
 17:16:31       0     20     12      0      0      0      0    136     33 
 17:16:31       1      3      2      0      0      0      0      0      2 
 17:16:31       2      3      2      0      0      0      0     10      1 
 17:16:31       3      3      2      0      0      0      0      0     37 
 17:16:32       0     20     12      0      0      0      0    178     23 
 17:16:32       1      6      5      0      0      0      0      0      0 
 17:16:32       2      6      4      0      0      0      0     11      0 
 17:16:32       3      6      4      0      0      0      0      0     38 
#Time         gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS     Idx      %      %      %      %      %      %   MB/s   MB/s 
 17:16:33       0     20     12      0      0      0      0    188     22 
 17:16:33       1      6      5      0      0      0      0      1      0 
 17:16:33       2      6      4      0      0      0      0     11      3 
 17:16:33       3      4      3      0      0      0      0      0      0 
 17:16:34       0     18     11      0      0      0      0    188     43 
 17:16:34       1      3      2      0      0      0      0      6      0 
 17:16:34       2      3      2      0      0      0      0      0      5 
 17:16:34       3      3      2      0      0      0      0      0      0 
 17:16:35       0     21     12      0      0      0      0    188     41 
 17:16:35       1      6      5      0      0      0      0      6      1 
 17:16:35       2      6      4      0      0      0      0      0      0 
 17:16:35       3      6      4      0      0      0      0     10      0 
 17:16:37       0     21     12      0      0      0      0     99     42 
 17:16:37       1      3      2      0      0      0      0      0      3 
 17:16:37       2      3      2      0      0      0      0      0      0 
 17:16:37       3      3      2      0      0      0      0     11      2 
 17:16:38       0     20     12      0      0      0      0     78     41 
 17:16:38       1      6      5      0      0      0      0      0      3 
 17:16:38       2      6      4      0      0      0      0      0      1 
 17:16:38       3      6      4      0      0      0      0      0     36 
 17:16:39       0     20     12      0      0      0      0    188     22 
 17:16:39       1      6      5      0      0      0      0      0      0 
 17:16:39       2      6      4      0      0      0      0     11      2 
 17:16:39       3      6      4      0      0      0      0      0      0 
 17:16:40       0     21     12      0      0      0      0    188     37 
 17:16:40       1      3      2      0      0      0      0      0      1 
 17:16:40       2      3      2      0      0      0      0      0      5 
 17:16:40       3      3      2      0      0      0      0      0      0 
 17:16:41       0     21     12      0      0      0      0    198     41 
 17:16:41       1      6      5      0      0      0      0      6      0 
 17:16:41       2      6      4      0      0      0      0      0      5 
 17:16:41       3      6      4      0      0      0      0      0      1 
 17:16:42       0     21     12      0      0      0      0    178     41 
 17:16:42       1      6      5      0      0      0      0      6      0 
 17:16:42       2      3      2      0      0      0      0      0      0 
 17:16:42       3      3      2      0      0      0      0     10      0 
 17:16:44       0     18     11      0      0      0      0    105     36 
 17:16:44       1      3      2      0      0      0      0      0      0 
 17:16:44       2      3      2      0      0      0      0     11      0 
 17:16:44       3      3      2      0      0      0      0      0     37 
 17:16:45       0     19     11      0      0      0      0    188     41 
 17:16:45       1      3      2      0      0      0      0      6      1 
 17:16:45       2      3      2      0      0      0      0      0      5 
 17:16:45       3      3      2      0      0      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS     Idx      %      %      %      %      %      %   MB/s   MB/s 
 17:16:46       0     19     11      0      0      0      0     78     41 
 17:16:46       1      3      2      0      0      0      0      0      3 
 17:16:46       2      3      2      0      0      0      0      0      1 
 17:16:46       3      3      2      0      0      0      0      0     37 
 17:16:47       0     20     12      0      0      0      0    167     25 
 17:16:47       1      6      5      0      0      0      0      0      0 
 17:16:47       2      6      4      0      0      0      0     11      0 
 17:16:47       3      6      4      0      0      0      0      0     36 
 17:16:48       0     19     11      0      0      0      0    188     22 
 17:16:48       1      3      2      0      0      0      0      0      0 
 17:16:48       2      3      2      0      0      0      0     11      0 
 17:16:48       3      3      2      0      0      0      0      0      0 
 17:16:50       0     19     11      0      0      0      0    198     37 
 17:16:50       1      4      3      0      0      0      0      0      1 
 17:16:50       2      6      4      0      0      0      0      0      5 
 17:16:50       3      6      4      0      0      0      0      0      0 
 17:16:51       0     20     12      0      0      0      0    177     41 
 17:16:51       1      6      5      0      0      0      0      6      0 
 17:16:51       2      6      4      0      0      0      0      0      1 
 17:16:51       3      6      4      0      0      0      0     10      0 
 17:16:52       0     19     12      0      0      0      0     89     41 
 17:16:52       1      3      2      0      0      0      0      0      3 
 17:16:52       2      3      2      0      0      0      0      0      0 
 17:16:52       3      3      2      0      0      0      0     11     34 
 17:16:53       0     20     12      0      0      0      0    136     31 
 17:16:53       1      6      5      0      0      0      0      0      0 
