0.00.432.679 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.432.978 W srv  llama_server: -----------------
0.00.432.978 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.432.978 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.432.978 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.432.979 W srv  llama_server: -----------------
0.00.434.235 I srv    load_model: loading model '/data/nvidia/hf_cache/hub/models--unsloth--Qwen3.8-Flash-Next-GGUF/snapshots/83cadfda58d30be06c110518208d1bb918b33f10/UD-Q4_K_XL/Qwen3.8-Flash-Next-UD-Q4_K_XL-00001-of-00004.gguf'
0.11.510.373 W ggml_backend_sched_graph_inputs_grow: increasing graph inputs capacity from 30 to 60
0.11.510.521 W ggml_backend_sched_graph_inputs_grow: increasing graph inputs capacity from 60 to 120
0.17.851.965 I cmn          init: llama threadpool init, n_threads = 60
0.18.030.667 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 896000, kv_unified = 'false'
0.18.035.167 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.18.035.204 I srv  llama_server: model loaded
0.18.035.209 I srv  llama_server: listening on http://0.0.0.0:30004
1.16.480.165 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.16.480.293 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.19.986.888 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.14, t =   3.51 s / 1752.15 tokens per second
1.21.155.181 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.18, t =   4.67 s / 1752.35 tokens per second
1.22.352.525 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.23, t =   5.87 s / 1743.81 tokens per second
1.23.572.585 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.27, t =   7.09 s / 1732.59 tokens per second
1.24.821.207 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.32, t =   8.34 s / 1718.76 tokens per second
1.26.095.679 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.36, t =   9.62 s / 1703.94 tokens per second
1.27.393.602 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.41, t =  10.91 s / 1688.95 tokens per second
1.28.715.612 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.45, t =  12.24 s / 1673.85 tokens per second
1.30.061.803 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.50, t =  13.58 s / 1658.73 tokens per second
